0.00, 1.168357, 1.217179, 0.900000, 0.438872, 0.173115 
0.02, 1.159334, 1.230737, 0.900000, 0.437872, 0.173985 
0.04, 1.150358, 1.244143, 0.900000, 0.436871, 0.174856 
0.06, 1.141426, 1.257401, 0.900000, 0.435871, 0.175726 
0.08, 1.132537, 1.270514, 0.900000, 0.434870, 0.176596 
0.10, 1.123688, 1.283487, 0.900000, 0.433869, 0.177467 
0.12, 1.114877, 1.296324, 0.900000, 0.432868, 0.178338 
0.14, 1.106103, 1.309027, 0.900000, 0.431867, 0.179208 
0.16, 1.097362, 1.321602, 0.900000, 0.430865, 0.180079 
0.18, 1.088654, 1.334050, 0.900000, 0.429864, 0.180949 
0.20, 1.079976, 1.346376, 0.900000, 0.428862, 0.181820 
0.22, 1.071327, 1.358581, 0.900000, 0.427860, 0.182691 
0.24, 1.062705, 1.370669, 0.900000, 0.426859, 0.183561 
0.26, 1.054109, 1.382643, 0.900000, 0.425856, 0.184432 
0.28, 1.045536, 1.394504, 0.900000, 0.424854, 0.185302 
0.30, 1.036986, 1.406256, 0.900000, 0.423852, 0.186172 
0.32, 1.028457, 1.417900, 0.900000, 0.422849, 0.187042 
0.34, 1.019947, 1.429439, 0.900000, 0.421847, 0.187913 
0.36, 1.011455, 1.440874, 0.900000, 0.420844, 0.188783 
0.38, 1.002980, 1.452209, 0.900000, 0.419841, 0.189652 
0.40, 0.994521, 1.463444, 0.900000, 0.418838, 0.190522 
0.42, 0.986076, 1.474581, 0.900000, 0.417835, 0.191392 
0.44, 0.977644, 1.485623, 0.900000, 0.416832, 0.192261 
0.46, 0.969223, 1.496570, 0.900000, 0.415828, 0.193130 
0.48, 0.960814, 1.507425, 0.900000, 0.414825, 0.193999 
0.50, 0.952413, 1.518189, 0.900000, 0.413822, 0.194868 
0.52, 0.944022, 1.528863, 0.900000, 0.412818, 0.195736 
0.54, 0.935637, 1.539448, 0.900000, 0.411815, 0.196605 
0.56, 0.927259, 1.549946, 0.900000, 0.410812, 0.197473 
0.58, 0.918887, 1.560359, 0.900000, 0.409808, 0.198341 
0.60, 0.910518, 1.570687, 0.900000, 0.408805, 0.199208 
0.62, 0.902153, 1.580931, 0.900000, 0.407801, 0.200075 
0.64, 0.893789, 1.591093, 0.900000, 0.406798, 0.200943 
0.66, 0.885427, 1.601173, 0.900000, 0.405795, 0.201809 
0.68, 0.877066, 1.611172, 0.900000, 0.404792, 0.202676 
0.70, 0.868704, 1.621092, 0.900000, 0.403789, 0.203542 
0.72, 0.860340, 1.630933, 0.900000, 0.402786, 0.204409 
0.74, 0.851974, 1.640696, 0.900000, 0.401783, 0.205274 
0.76, 0.843605, 1.650382, 0.900000, 0.400780, 0.206140 
0.78, 0.835231, 1.659992, 0.900000, 0.399778, 0.207005 
0.80, 0.826853, 1.669526, 0.900000, 0.398776, 0.207870 
0.82, 0.818468, 1.678985, 0.900000, 0.397774, 0.208735 
0.84, 0.810077, 1.688369, 0.900000, 0.396772, 0.209600 
0.86, 0.801678, 1.697679, 0.900000, 0.395770, 0.210464 
0.88, 0.793271, 1.706917, 0.900000, 0.394768, 0.211328 
0.90, 0.784855, 1.716081, 0.900000, 0.393767, 0.212192 
0.92, 0.776429, 1.725173, 0.900000, 0.392766, 0.213056 
0.94, 0.767992, 1.734194, 0.900000, 0.391765, 0.213919 
0.96, 0.759544, 1.743142, 0.900000, 0.390764, 0.214782 
0.98, 0.751083, 1.752020, 0.900000, 0.389764, 0.215645 
1.00, 0.742610, 1.760828, 0.900000, 0.388763, 0.216508 
1.02, 0.734123, 1.769565, 0.900000, 0.387763, 0.217371 
1.04, 0.725621, 1.778232, 0.900000, 0.386764, 0.218233 
1.06, 0.717104, 1.786829, 0.900000, 0.385764, 0.219095 
1.08, 0.708571, 1.795356, 0.900000, 0.384765, 0.219957 
1.10, 0.700021, 1.803815, 0.900000, 0.383766, 0.220819 
1.12, 0.691454, 1.812204, 0.900000, 0.382767, 0.221681 
1.14, 0.682869, 1.820525, 0.900000, 0.381768, 0.222543 
1.16, 0.674265, 1.828777, 0.900000, 0.380770, 0.223404 
1.18, 0.665642, 1.836960, 0.900000, 0.379772, 0.224266 
1.20, 0.656999, 1.845074, 0.900000, 0.378774, 0.225127 
1.22, 0.648334, 1.853120, 0.900000, 0.377776, 0.225988 
1.24, 0.639649, 1.861098, 0.900000, 0.376779, 0.226849 
1.26, 0.630941, 1.869007, 0.900000, 0.375781, 0.227710 
1.28, 0.622211, 1.876848, 0.900000, 0.374784, 0.228571 
1.30, 0.613457, 1.884621, 0.900000, 0.373787, 0.229432 
1.32, 0.604679, 1.892325, 0.900000, 0.372790, 0.230293 
1.34, 0.595877, 1.899961, 0.900000, 0.371794, 0.231153 
1.36, 0.587050, 1.907528, 0.900000, 0.370797, 0.232014 
1.38, 0.578196, 1.915026, 0.900000, 0.369801, 0.232875 
1.40, 0.569317, 1.922456, 0.900000, 0.368805, 0.233735 
1.42, 0.560410, 1.929816, 0.900000, 0.367809, 0.234596 
1.44, 0.551476, 1.937108, 0.900000, 0.366813, 0.235457 
1.46, 0.542514, 1.944330, 0.900000, 0.365817, 0.236317 
1.48, 0.533523, 1.951483, 0.900000, 0.364821, 0.237178 
1.50, 0.524504, 1.958566, 0.900000, 0.363825, 0.238039 
1.52, 0.515454, 1.965578, 0.900000, 0.362830, 0.238899 
1.54, 0.506375, 1.972521, 0.900000, 0.361834, 0.239760 
1.56, 0.497264, 1.979393, 0.900000, 0.360839, 0.240621 
1.58, 0.488123, 1.986194, 0.900000, 0.359843, 0.241482 
